date,region,state,cases,deaths
4/7/2020,Nordeste,Piauí,28,4
4/7/2020,Nordeste,Rio Grande do Norte,254,8
4/7/2020,Nordeste,Sergipe,36,4
4/7/2020,Norte,Acre,50,1
4/7/2020,Norte,Amapá,48,2
4/7/2020,Norte,Amazonas,636,23
4/7/2020,Norte,Pará,138,5
4/7/2020,Norte,Rondônia,18,1
4/7/2020,Norte,Roraima,42,1
4/7/2020,Norte,Tocantins,19,0
4/7/2020,Sudeste,Espírito Santo,209,6
4/7/2020,Sudeste,Minas Gerais,559,11
4/7/2020,Sudeste,Rio de Janeiro,1688,89
4/7/2020,Sudeste,São Paulo,5682,371
4/7/2020,Sul,Paraná,503,15
4/7/2020,Sul,Rio Grande do Sul,508,8
4/7/2020,Sul,Santa Catarina,417,11
4/8/2020,Centro-Oeste,Distrito Federal,509,12
4/8/2020,Centro-Oeste,Goiás,158,7
4/8/2020,Centro-Oeste,Mato Grosso,90,1
4/8/2020,Centro-Oeste,Mato Grosso do Sul,85,2
4/8/2020,Nordeste,Alagoas,37,2
4/8/2020,Nordeste,Bahia,497,15
4/8/2020,Nordeste,Ceará,1291,43
4/8/2020,Nordeste,Maranhão,230,11
4/8/2020,Nordeste,Paraíba,41,4
4/8/2020,Nordeste,Pernambuco,401,46
4/8/2020,Nordeste,Piauí,31,5
4/8/2020,Nordeste,Rio Grande do Norte,261,11
4/8/2020,Nordeste,Sergipe,36,4
4/8/2020,Norte,Acre,54,2
4/8/2020,Norte,Amapá,107,2
4/8/2020,Norte,Amazonas,804,30
4/8/2020,Norte,Pará,167,6
4/8/2020,Norte,Rondônia,18,1
4/8/2020,Norte,Roraima,49,1
4/8/2020,Norte,Tocantins,23,0
4/8/2020,Sudeste,Espírito Santo,227,6
4/8/2020,Sudeste,Minas Gerais,614,14
4/8/2020,Sudeste,Rio de Janeiro,1938,106
4/8/2020,Sudeste,São Paulo,6708,428
4/8/2020,Sul,Paraná,539,17
4/8/2020,Sul,Rio Grande do Sul,555,9
4/8/2020,Sul,Santa Catarina,457,15
4/9/2020,Centro-Oeste,Distrito Federal,527,13
4/9/2020,Centro-Oeste,Goiás,179,7
4/9/2020,Centro-Oeste,Mato Grosso,108,2
4/9/2020,Centro-Oeste,Mato Grosso do Sul,89,2
4/9/2020,Nordeste,Alagoas,37,3
4/9/2020,Nordeste,Bahia,559,19
4/9/2020,Nordeste,Ceará,1425,55
4/9/2020,Nordeste,Maranhão,273,12
4/9/2020,Nordeste,Paraíba,55,7
4/9/2020,Nordeste,Pernambuco,555,56
4/9/2020,Nordeste,Piauí,38,6
4/9/2020,Nordeste,Rio Grande do Norte,261,11
4/9/2020,Nordeste,Sergipe,39,4
4/9/2020,Norte,Acre,62,2
4/9/2020,Norte,Amapá,128,2
4/9/2020,Norte,Amazonas,899,40
4/9/2020,Norte,Pará,168,7
4/9/2020,Norte,Rondônia,28,2
4/9/2020,Norte,Roraima,52,1
4/9/2020,Norte,Tocantins,23,0
4/9/2020,Sudeste,Espírito Santo,273,6
4/9/2020,Sudeste,Minas Gerais,655,15
4/9/2020,Sudeste,Rio de Janeiro,2216,122
4/9/2020,Sudeste,São Paulo,7480,496
4/9/2020,Sul,Paraná,609,22
4/9/2020,Sul,Rio Grande do Sul,618,12
4/9/2020,Sul,Santa Catarina,501,17
4/10/2020,Centro-Oeste,Distrito Federal,555,14
4/10/2020,Centro-Oeste,Goiás,191,8
4/10/2020,Centro-Oeste,Mato Grosso,112,2
4/10/2020,Centro-Oeste,Mato Grosso do Sul,97,2
4/10/2020,Nordeste,Alagoas,45,3
4/10/2020,Nordeste,Bahia,604,19
4/10/2020,Nordeste,Ceará,1478,58
4/10/2020,Nordeste,Maranhão,293,16
4/10/2020,Nordeste,Paraíba,79,11
4/10/2020,Nordeste,Pernambuco,684,65
4/10/2020,Nordeste,Piauí,40,7
4/10/2020,Nordeste,Rio Grande do Norte,263,11
4/10/2020,Nordeste,Sergipe,42,4
4/10/2020,Norte,Acre,70,2
4/10/2020,Norte,Amapá,166,2
4/10/2020,Norte,Amazonas,981,50
4/10/2020,Norte,Pará,170,9
4/10/2020,Norte,Rondônia,32,2
4/10/2020,Norte,Roraima,63,3
4/10/2020,Norte,Tocantins,23,0
4/10/2020,Sudeste,Espírito Santo,300,7
4/10/2020,Sudeste,Minas Gerais,698,17
4/10/2020,Sudeste,Rio de Janeiro,2464,147
4/10/2020,Sudeste,São Paulo,8216,540
4/10/2020,Sul,Paraná,643,25
4/10/2020,Sul,Rio Grande do Sul,636,14
4/10/2020,Sul,Santa Catarina,693,18
4/11/2020,Centro-Oeste,Distrito Federal,579,14
4/11/2020,Centro-Oeste,Goiás,209,10
4/11/2020,Centro-Oeste,Mato Grosso,121,3
4/11/2020,Centro-Oeste,Mato Grosso do Sul,100,2
4/11/2020,Nordeste,Alagoas,48,3
4/11/2020,Nordeste,Bahia,635,21
4/11/2020,Nordeste,Ceará,1582,67
4/11/2020,Nordeste,Maranhão,344,21
4/11/2020,Nordeste,Paraíba,85,11
4/11/2020,Nordeste,Pernambuco,816,72
4/11/2020,Nordeste,Piauí,41,7
4/11/2020,Nordeste,Rio Grande do Norte,289,13
4/11/2020,Nordeste,Sergipe,42,4
4/11/2020,Norte,Acre,72,2
4/11/2020,Norte,Amapá,193,3
4/11/2020,Norte,Amazonas,1050,53
4/11/2020,Norte,Pará,217,10
